metric,comparison,mean_a,mean_b,delta_mean_a_minus_b,ci95_low,ci95_high,t,p,d,n
trial_cost,No AI vs AI-first,1.2217,1.0117,0.21,0.0383,0.3817,2.427,0.01701049181366186,0.243,100
trial_cost,No AI vs Human-first,1.2217,0.9233,0.2983,0.1444,0.4523,3.846,0.00021258308804138277,0.385,100
trial_cost,AI-first vs Human-first,1.0117,0.9233,0.0883,-0.0409,0.2176,1.356,0.17825612385954934,0.136,100
accuracy,No AI vs AI-first,0.5517,0.635,-0.0833,-0.1255,-0.0412,-3.921,0.00016273925182897785,-0.392,100
accuracy,No AI vs Human-first,0.5517,0.65,-0.0983,-0.1401,-0.0565,-4.667,9.582491318048204e-06,-0.467,100
accuracy,AI-first vs Human-first,0.635,0.65,-0.015,-0.0508,0.0208,-0.831,0.4081081202748337,-0.083,100
