feature,coefficient
term_60 months,0.6049224907696428
home_ownership_MORTGAGE,-0.5316478339815833
purpose_small_business,0.5276110585831685
int_rate,0.44198668333938557
home_ownership_OWN,-0.41919054832383296
home_ownership_RENT,-0.27856287727646756
log_annual_inc,-0.18974936248593113
purpose_medical,0.18476875933612152
purpose_home_improvement,0.163030671534072
purpose_moving,0.15715311132344056
dti,0.14129369691849575
purpose_debt_consolidation,0.12152820027095901
loan_amnt,0.07415607858670822
home_ownership_NONE,-0.07392795696874062
purpose_other,0.05593920164936257
purpose_credit_card,0.053597491002093774
purpose_major_purchase,0.049495270144072546
purpose_house,-0.048972009100035956
purpose_vacation,0.02319723129833943
home_ownership_OTHER,-0.016784759462600145
credit_history_years,-0.014121446204352486
revol_util,0.004080723182611378
