id,participant_id,trial_index,case_id,case_position,block,protocol,difficulty_tier,difficulty_score,y_true,pred_prob,model_correct,model_optimal,decision_init,prob_estimate_init,time_to_init_ms,decision_final,prob_estimate_final,confidence,time_to_final_ms,total_trial_ms,created_at
59b74c74-d5a4-4bc5-a44f-95bbfab3617d,3c80e1af-422f-40d9-9ba3-09108b1b5287,1,37221,4,block_1,human_first,hard,0.744436,1,0.94613,1,1,0.0,0.78,34100.0,0,0.78,,3736,37836,2026-04-22T19:23:35.18378+00:00
6c3116be-68e8-4591-9ef1-011b9e9c54b3,3736f39f-60c3-4ab5-99d3-20b63aab56b6,-2,731479,-2,practice,ai_first,easy,0.089268,0,0.058615,1,1,,,,1,0.41,,6838,6838,2026-04-22T21:03:49.904465+00:00
8014854a-1782-4d20-918e-d5eb291007db,3736f39f-60c3-4ab5-99d3-20b63aab56b6,-1,252416,-1,practice,ai_first,hard,0.781741,1,0.578106,1,1,,,,1,0.78,,6793,6793,2026-04-22T21:03:59.628891+00:00
9f6729f3-1c94-4939-92a8-52493383321c,3736f39f-60c3-4ab5-99d3-20b63aab56b6,1,161,6,block_1,ai_first,medium,0.592555,0,0.168642,1,0,,,,1,0.54,,4573,4573,2026-04-22T21:04:08.805861+00:00
96a342c0-03f4-4b70-801a-55dd151ddf23,3736f39f-60c3-4ab5-99d3-20b63aab56b6,2,2668,5,block_1,ai_first,medium,0.377186,1,0.234348,0,0,,,,0,0.68,,3822,3822,2026-04-22T21:04:13.195205+00:00
f179d551-6f33-4e9b-967c-04ec6db3a684,3736f39f-60c3-4ab5-99d3-20b63aab56b6,3,37221,4,block_1,ai_first,hard,0.744436,1,0.94613,1,1,,,,0,0.72,,3475,3475,2026-04-22T21:04:17.205995+00:00
68c2402f-e652-40e7-8203-641da572db57,3736f39f-60c3-4ab5-99d3-20b63aab56b6,4,49639,2,block_1,ai_first,easy,0.162701,0,0.054726,1,1,,,,0,0.78,,4095,4095,2026-04-22T21:04:21.851575+00:00
8c63b11c-2e82-4aaf-9515-b4ee79637824,3736f39f-60c3-4ab5-99d3-20b63aab56b6,5,765600,3,block_1,ai_first,hard,0.78429,0,0.868101,0,1,,,,0,0.91,,4247,4247,2026-04-22T21:04:26.652609+00:00
e19acdcc-c8f3-4f4b-aed2-92c4325f849e,3736f39f-60c3-4ab5-99d3-20b63aab56b6,6,777203,1,block_1,ai_first,easy,0.307547,1,0.311574,0,0,,,,0,0.84,,3223,3223,2026-04-22T21:04:30.449281+00:00
d9314a1e-e27e-4a2a-aefe-3858d6a528ac,3736f39f-60c3-4ab5-99d3-20b63aab56b6,7,6272,7,block_2,no_ai,easy,0.30891,1,0.333333,0,0,,,,0,0.75,,6367,6367,2026-04-22T21:04:39.560566+00:00
9ff370f6-38dd-483d-a9e3-424833b36eab,3736f39f-60c3-4ab5-99d3-20b63aab56b6,8,165503,10,block_2,no_ai,hard,0.744436,1,0.923224,1,1,,,,0,0.69,,4194,4194,2026-04-22T21:04:44.327889+00:00
92cdb9f1-e99e-499e-8a92-25daf18e1f49,3736f39f-60c3-4ab5-99d3-20b63aab56b6,9,241937,8,block_2,no_ai,easy,0.225732,0,0.074984,1,1,,,,0,0.79,,4389,4389,2026-04-22T21:04:49.264149+00:00
1f2ddb9c-6d9a-4c54-8a12-f66ed043a42d,3736f39f-60c3-4ab5-99d3-20b63aab56b6,10,776034,11,block_2,no_ai,medium,0.353885,1,0.267119,0,0,,,,0,0.77,,3773,3773,2026-04-22T21:04:53.647105+00:00
911536d9-4ba3-40ee-af3d-f65aa22e7aa2,3736f39f-60c3-4ab5-99d3-20b63aab56b6,11,791841,9,block_2,no_ai,hard,0.78429,0,0.842869,0,1,,,,0,0.83,,3397,3397,2026-04-22T21:04:57.602025+00:00
73f9ff6e-b6e0-4a71-87f3-632e1a2dae15,3736f39f-60c3-4ab5-99d3-20b63aab56b6,12,710322,12,block_2,no_ai,medium,0.343912,0,0.188803,1,0,,,,0,0.72,,3358,3358,2026-04-22T21:05:01.533878+00:00
885fae0c-9254-43e3-9d30-ceef8ca16770,3736f39f-60c3-4ab5-99d3-20b63aab56b6,13,785690,15,block_3,human_first,hard,0.744436,0,0.822149,0,1,0.0,0.32,7930.0,0,0.32,,4120,12050,2026-04-22T21:05:16.664626+00:00
52f7ba4c-0e8b-4d5d-8d2b-50a727ac71f4,3736f39f-60c3-4ab5-99d3-20b63aab56b6,14,29292,13,block_3,human_first,easy,0.328147,1,0.37037,0,0,0.0,0.77,4211.0,0,0.77,,6037,10248,2026-04-22T21:05:27.629675+00:00
ac0f7854-612e-434f-b50c-d5432d8820b6,3736f39f-60c3-4ab5-99d3-20b63aab56b6,15,274352,16,block_3,human_first,hard,0.744436,1,0.901361,1,1,0.0,0.7,6575.0,0,0.7,,4089,10664,2026-04-22T21:05:38.849765+00:00
9069b2c3-1497-46bd-9de2-8db35a7808f8,3736f39f-60c3-4ab5-99d3-20b63aab56b6,16,208784,17,block_3,human_first,medium,0.524324,1,0.289308,0,0,0.0,0.61,8468.0,0,0.61,,5682,14150,2026-04-22T21:05:53.580197+00:00
5c90bfcd-b36c-45c9-8939-71b025ef5ad7,3736f39f-60c3-4ab5-99d3-20b63aab56b6,17,33,18,block_3,human_first,medium,0.584377,0,0.210035,1,0,0.0,0.77,8167.0,0,0.77,,3898,12065,2026-04-22T21:06:06.239792+00:00
e66966b5-953c-4793-871c-649fee8aee44,3736f39f-60c3-4ab5-99d3-20b63aab56b6,18,727176,14,block_3,human_first,easy,0.141881,0,0.101631,1,1,0.0,0.81,4168.0,0,0.81,,3276,7444,2026-04-22T21:06:14.270105+00:00
0120fe77-7ce9-4266-b729-30f5ce9080c5,46b9d5fc-0237-4c85-9dc4-68de0260bcfe,-2,731479,-2,practice,ai_first,easy,0.089268,0,0.058615,1,1,,,,1,0.89,,6980,6980,2026-04-22T21:08:58.613701+00:00
3d4b0918-11a2-48ea-a3dd-ac8e50f44c63,46b9d5fc-0237-4c85-9dc4-68de0260bcfe,-1,252416,-1,practice,ai_first,hard,0.781741,1,0.578106,1,1,,,,1,0.74,,5873,5873,2026-04-22T21:09:10.74662+00:00
bad951ab-0760-4984-b222-26b513e52126,77ef046d-5278-4050-9abf-e139f443c2c0,-2,946400,-2,practice,ai_first,easy,0.11361,0,0.059221,1,1,,,,1,0.3,,75361,75361,2026-04-25T14:24:47.858492+00:00
f05ce132-0dc8-4960-9a06-99298949ac6d,77ef046d-5278-4050-9abf-e139f443c2c0,-1,934189,-1,practice,ai_first,hard,0.744436,1,0.623978,1,1,,,,0,0.69,,58628,58628,2026-04-25T14:25:48.564568+00:00
af0af022-d319-4f8c-88a2-484e7c7ace84,77ef046d-5278-4050-9abf-e139f443c2c0,1,819669,3,block_1,human_first,medium,0.513203,1,0.234348,0,0,0.0,0.78,15261.0,0,0.78,,5900,21161,2026-04-25T14:26:28.579735+00:00
94753f76-ca8b-48b7-ab11-2290cf6d89fe,e7a2b776-fde7-4836-a834-86521e62747e,-2,946400,-2,practice,ai_first,easy,0.11361,0,0.059221,1,1,,,,0,0.76,,18189,18189,2026-04-25T14:28:06.047426+00:00
b1fdd54c-8b62-44f9-89c3-528ca90f21e9,e7a2b776-fde7-4836-a834-86521e62747e,-1,934189,-1,practice,ai_first,hard,0.744436,1,0.623978,1,1,,,,1,0.25,,5722,5722,2026-04-25T14:28:28.050588+00:00
efae29fc-6ada-42c2-a9ca-9149fefd5aa8,e7a2b776-fde7-4836-a834-86521e62747e,1,1263657,6,block_1,no_ai,hard,0.744436,1,0.94613,1,1,,,,1,0.59,,3586,3586,2026-04-25T14:28:41.412102+00:00
79792023-7fef-4f9b-ae6e-afeccecd4a3d,e7a2b776-fde7-4836-a834-86521e62747e,2,1215065,5,block_1,no_ai,hard,0.744436,0,0.899569,0,1,,,,1,0.6,,4702,4702,2026-04-25T14:28:46.4085+00:00
d3d758a1-525d-4a35-9bb9-5f81525fdae4,e7a2b776-fde7-4836-a834-86521e62747e,3,844888,1,block_1,no_ai,easy,0.270624,1,0.333333,0,0,,,,0,0.67,,4738,4738,2026-04-25T14:28:51.46018+00:00
fda3925a-fa48-4778-9ba3-59822803a820,e7a2b776-fde7-4836-a834-86521e62747e,4,819669,3,block_1,no_ai,medium,0.513203,1,0.234348,0,0,,,,0,0.67,,4454,4454,2026-04-25T14:28:56.677635+00:00
ba925ba7-8d99-46e4-8eb3-a6b0ba44b410,1fe02920-1875-40d9-ada6-295718bd826d,-2,946400,-2,practice,ai_first,easy,0.11361,0,0.059221,1,1,,,,0,0.46,,6110,6110,2026-04-25T15:15:34.1095+00:00
5d10c606-05dd-4b45-9503-bf5dca51802b,1fe02920-1875-40d9-ada6-295718bd826d,-1,934189,-1,practice,ai_first,hard,0.744436,1,0.623978,1,1,,,,0,0.68,,7820,7820,2026-04-25T15:15:43.615038+00:00
275c4bff-3a62-4963-a3d4-131aaedc58d2,18009e86-8159-4e38-a0e8-7b6fcd393ede,-2,946400,-2,practice,ai_first,easy,0.11361,0,0.059221,1,1,,,,0,0.67,,11280,11280,2026-04-25T15:56:41.425694+00:00
1a60728b-4e41-472d-bcdb-242e2ee21d6f,18009e86-8159-4e38-a0e8-7b6fcd393ede,-1,934189,-1,practice,ai_first,hard,0.744436,1,0.623978,1,1,,,,0,0.74,,3753,3753,2026-04-25T15:56:47.238413+00:00
2cefd70e-1e93-45d6-a0b5-12ea9a0b2861,18009e86-8159-4e38-a0e8-7b6fcd393ede,1,1263657,6,block_1,ai_first,hard,0.744436,1,0.94613,1,1,,,,0,0.85,,4574,4574,2026-04-25T15:56:55.067738+00:00
d766d10c-ab36-4d01-b200-be4c469c0f03,18009e86-8159-4e38-a0e8-7b6fcd393ede,2,819669,3,block_1,ai_first,medium,0.513203,1,0.234348,0,0,,,,0,0.76,,4308,4308,2026-04-25T15:56:59.677955+00:00
f1371a8c-88b2-4c95-a930-b9d3a8a0d9d4,18009e86-8159-4e38-a0e8-7b6fcd393ede,3,844888,1,block_1,ai_first,easy,0.270624,1,0.333333,0,0,,,,0,0.77,,3117,3117,2026-04-25T15:57:03.103319+00:00
e6247db8-cda5-42e9-b988-0157fbba27c1,18009e86-8159-4e38-a0e8-7b6fcd393ede,4,1183988,2,block_1,ai_first,easy,0.13108,0,0.054726,1,1,,,,0,0.79,,3900,3900,2026-04-25T15:57:07.479288+00:00
60b3372b-bf1f-46b4-94d9-4967b21112da,18009e86-8159-4e38-a0e8-7b6fcd393ede,5,1215065,5,block_1,ai_first,hard,0.744436,0,0.899569,0,1,,,,0,0.82,,3845,3845,2026-04-25T15:57:11.686181+00:00
d36e40de-5547-4098-beaf-ece10658aa52,18009e86-8159-4e38-a0e8-7b6fcd393ede,6,819289,4,block_1,ai_first,medium,0.477809,0,0.168642,1,0,,,,0,0.82,,4034,4034,2026-04-25T15:57:16.014717+00:00
19a61120-67b4-415f-b6f6-7e8d2b88415a,18009e86-8159-4e38-a0e8-7b6fcd393ede,7,1185020,9,block_2,no_ai,medium,0.353885,1,0.267119,0,0,,,,0,0.59,,4640,4640,2026-04-25T15:57:23.252528+00:00
841d38c3-a93f-49e2-bde7-62807055e1ea,18009e86-8159-4e38-a0e8-7b6fcd393ede,8,1219112,11,block_2,no_ai,hard,0.739562,0,0.831196,0,1,,,,0,0.77,,4189,4189,2026-04-25T15:57:27.756527+00:00
92842d16-5bd8-4e96-99f1-aa951a9e5ec0,18009e86-8159-4e38-a0e8-7b6fcd393ede,9,937917,7,block_2,no_ai,easy,0.328147,1,0.37037,0,0,,,,0,0.75,,3586,3586,2026-04-25T15:57:31.65531+00:00
e7c9e4c1-7789-40a8-a5f7-947c58c916cd,18009e86-8159-4e38-a0e8-7b6fcd393ede,10,828575,8,block_2,no_ai,easy,0.225732,0,0.074984,1,1,,,,0,0.72,,3024,3024,2026-04-25T15:57:34.865908+00:00
