id,participant_id,attempt,question_id,selected_answer,is_correct,created_at
b131baee-89f5-4e74-855e-7b478492f701,cee5efb3-5e96-485b-bc24-c632ce714a5c,1,1,C,False,2026-04-22T23:28:30.956593+00:00
4f27b701-be78-4f83-a580-e2f276230616,cee5efb3-5e96-485b-bc24-c632ce714a5c,1,2,C,False,2026-04-22T23:28:31.085408+00:00
751552c0-640c-4cee-bba1-93887398cbfa,cee5efb3-5e96-485b-bc24-c632ce714a5c,1,3,C,True,2026-04-22T23:28:31.201947+00:00
bd6ca97c-3184-4cee-8fa0-d07ce120b307,6dea4b04-927d-4dd1-bc34-202ebf45ad95,1,1,B,True,2026-04-23T12:58:29.457771+00:00
158f826b-2e95-47a2-bc49-904c54987cce,6dea4b04-927d-4dd1-bc34-202ebf45ad95,1,2,B,True,2026-04-23T12:58:29.692995+00:00
68fe80b2-ae7e-422d-9483-5fb520233c76,6dea4b04-927d-4dd1-bc34-202ebf45ad95,1,3,C,True,2026-04-23T12:58:29.914983+00:00
39cca9cd-ed0d-44b4-8577-4d224845e016,75538b8d-8ec0-446a-99de-30593024b929,1,1,B,True,2026-04-23T15:30:16.191396+00:00
965b1dec-2684-4cba-9ad2-c9773a44adc7,75538b8d-8ec0-446a-99de-30593024b929,1,2,C,False,2026-04-23T15:30:16.313998+00:00
220f9f51-4a79-4804-be2e-f94f681b5073,75538b8d-8ec0-446a-99de-30593024b929,1,3,C,True,2026-04-23T15:30:16.427504+00:00
bcd1dfc9-96f5-485e-b929-d993ee0b1a4c,7d3540d9-75f3-494d-80b1-9ad48298e1a9,1,1,D,False,2026-04-23T15:41:50.054022+00:00
d634b4e9-fdff-4c78-8cce-cf0e4abf23d2,7d3540d9-75f3-494d-80b1-9ad48298e1a9,1,2,D,False,2026-04-23T15:41:50.162615+00:00
f6ddcc1e-5262-44c9-8590-fa7a2b65f601,7d3540d9-75f3-494d-80b1-9ad48298e1a9,1,3,B,False,2026-04-23T15:41:50.277684+00:00
0abf0e1d-12bb-4554-abc3-c4516080927f,7d3540d9-75f3-494d-80b1-9ad48298e1a9,2,1,A,False,2026-04-23T15:41:55.724289+00:00
46a1036b-d3c2-434f-8d60-9bbf81f1323b,7d3540d9-75f3-494d-80b1-9ad48298e1a9,2,2,B,True,2026-04-23T15:41:55.884254+00:00
e9bc509b-15ba-4d08-85e3-547444ce984f,7d3540d9-75f3-494d-80b1-9ad48298e1a9,2,3,A,False,2026-04-23T15:41:56.118815+00:00
c1f0a13c-f7d5-4416-b69a-35f47d1c60b9,77ef046d-5278-4050-9abf-e139f443c2c0,1,1,B,True,2026-04-25T14:23:29.993008+00:00
52bc65c1-5f31-4852-b595-87df88a102a6,77ef046d-5278-4050-9abf-e139f443c2c0,1,2,B,True,2026-04-25T14:23:30.116538+00:00
cb0d94b4-1001-4772-b38c-b299bab49e82,77ef046d-5278-4050-9abf-e139f443c2c0,1,3,C,True,2026-04-25T14:23:30.242309+00:00
975e5755-0a30-4a75-b163-e460f0e6e738,66f32868-b1c5-4dd1-ad88-af87b0161912,1,1,B,True,2026-04-25T14:26:50.813094+00:00
ba0092c3-1be0-47c1-82d1-9d1eeea460d0,66f32868-b1c5-4dd1-ad88-af87b0161912,1,2,C,False,2026-04-25T14:26:50.939307+00:00
865c3f58-821b-43cb-a85f-e7df8c76800a,66f32868-b1c5-4dd1-ad88-af87b0161912,1,3,C,True,2026-04-25T14:26:51.062784+00:00
5fcde1e3-60b7-420c-91e0-4dca3ad507ab,e7a2b776-fde7-4836-a834-86521e62747e,1,1,A,False,2026-04-25T14:27:15.403649+00:00
a02cd33a-b15c-498c-a979-ac9b5ce6c4a3,e7a2b776-fde7-4836-a834-86521e62747e,1,2,A,False,2026-04-25T14:27:15.525326+00:00
794c8e49-a273-4566-a6ce-48b392a2afbf,e7a2b776-fde7-4836-a834-86521e62747e,1,3,C,True,2026-04-25T14:27:15.653479+00:00
b2c3341c-b7ed-4db5-9716-e5407e165b19,e7a2b776-fde7-4836-a834-86521e62747e,2,1,A,False,2026-04-25T14:27:23.27509+00:00
7a002d3b-ea03-4888-84f2-85ff586aaf82,e7a2b776-fde7-4836-a834-86521e62747e,2,2,B,True,2026-04-25T14:27:23.396971+00:00
9b624118-31aa-40dc-b9aa-6aa72fe10a01,e7a2b776-fde7-4836-a834-86521e62747e,2,3,A,False,2026-04-25T14:27:23.517419+00:00
70c68ec3-a96e-426f-b5ad-9321a1fc858b,1fe02920-1875-40d9-ada6-295718bd826d,1,1,C,False,2026-04-25T15:15:20.705192+00:00
21359b81-16f7-4768-aa34-574ff016a94a,1fe02920-1875-40d9-ada6-295718bd826d,1,2,A,False,2026-04-25T15:15:20.825+00:00
9dea47a0-4c0e-424f-80f1-27d091b81357,1fe02920-1875-40d9-ada6-295718bd826d,1,3,D,False,2026-04-25T15:15:20.946311+00:00
74224185-e6f8-4c84-98f4-f81d4130b136,1fe02920-1875-40d9-ada6-295718bd826d,2,1,B,True,2026-04-25T15:15:25.170547+00:00
600ab5e4-b7c7-4c9c-9343-9ae9c6fc829e,1fe02920-1875-40d9-ada6-295718bd826d,2,2,C,False,2026-04-25T15:15:25.288408+00:00
7c0c7705-aa5e-4bf9-a987-911785a5bd67,1fe02920-1875-40d9-ada6-295718bd826d,2,3,B,False,2026-04-25T15:15:25.419039+00:00
6b3cd6d0-5823-4194-b4eb-dd51d2625c10,18009e86-8159-4e38-a0e8-7b6fcd393ede,1,1,D,False,2026-04-25T15:56:24.236693+00:00
f9a1d321-8f39-4bce-91ae-bb6bf431dd0e,18009e86-8159-4e38-a0e8-7b6fcd393ede,1,2,A,False,2026-04-25T15:56:24.364712+00:00
5b199c1c-42ab-48ca-be5e-a0957ae0ae56,18009e86-8159-4e38-a0e8-7b6fcd393ede,1,3,B,False,2026-04-25T15:56:24.482977+00:00
e02a6bf8-ef6e-4cc5-bda6-1d04c240d6cc,18009e86-8159-4e38-a0e8-7b6fcd393ede,2,1,C,False,2026-04-25T15:56:28.486809+00:00
39638f74-5183-4d89-a8c8-ebb61de03df0,18009e86-8159-4e38-a0e8-7b6fcd393ede,2,2,B,True,2026-04-25T15:56:28.61978+00:00
7246f64a-7f6a-41bf-b679-ea11b34429ce,18009e86-8159-4e38-a0e8-7b6fcd393ede,2,3,C,True,2026-04-25T15:56:28.742037+00:00
89e023ac-be08-46bd-bad0-39edd86ec70f,0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,1,1,D,False,2026-04-25T16:18:23.095965+00:00
f73dd049-3111-4453-9bff-fbd954834c87,0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,1,2,B,True,2026-04-25T16:18:23.215314+00:00
5d263f78-1b87-49dc-a4f7-e8fc6413de21,0fe4aed8-d45c-44cc-9c62-48a894b4ba2b,1,3,C,True,2026-04-25T16:18:23.330744+00:00
